,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,ust-barguzin,ru,53.41,109.03,31.33,100,80,2.06
1,bluff,nz,-46.6,168.33,50.73,100,88,3.74
2,waingapu,id,-9.65,120.26,78.45,86,12,4.18
3,port blair,in,11.67,92.75,84.07,100,12,14.03
5,rikitea,pf,-23.12,-134.97,73.18,100,32,14.7
6,jhajjar,in,28.61,76.66,66.2,77,0,3.18
7,tahta,eg,26.77,31.5,68,56,0,16.11
8,kropotkin,ru,45.43,40.58,43.62,81,0,10.22
9,albany,au,-35.02,117.88,58.65,83,92,4.74
11,punta arenas,cl,-53.16,-70.91,51.8,53,75,14.99
12,mitsamiouli,km,-11.38,43.28,74.8,100,0,3.74
13,salalah,om,17.01,54.1,78.8,74,40,4.7
14,nemuro,jp,43.32,145.57,54.51,100,0,9.66
15,haines junction,ca,60.75,-137.51,31.78,73,12,1.39
16,yellowknife,ca,62.45,-114.38,32,93,90,8.05
17,atuona,pf,-9.8,-139.03,80.16,100,80,19.95
18,butaritari,ki,3.07,172.79,85.65,100,12,11.34
19,saint-philippe,re,-21.36,55.77,66.07,60,0,8.05
20,vaini,to,-21.2,-175.2,80.6,69,40,4.7
21,cabo san lucas,mx,22.89,-109.91,85.8,69,40,5.64
22,atkarsk,ru,51.88,45.01,34.98,91,76,10.56
23,thompson,ca,55.74,-97.86,32,98,90,5.82
25,ormara,pk,25.21,64.64,74.44,93,8,4.74
26,itarema,br,-2.92,-39.92,77.82,81,0,13.8
27,raudeberg,no,61.99,5.14,33.8,74,8,6.93
28,kapaa,us,22.08,-159.32,83.41,69,75,13.87
29,castro,cl,-42.48,-73.76,52.84,98,92,6.42
30,guerrero negro,mx,27.97,-114.04,81.87,41,0,11.45
31,port lincoln,au,-34.72,135.86,61.84,89,88,8.66
32,pevek,ru,69.7,170.27,14.55,100,48,11.23
33,puro,ph,13.13,123.76,79.12,92,68,7.2
35,zharkent,kz,44.17,80,21.03,56,24,1.83
36,mar del plata,ar,-46.43,-67.52,60.45,47,0,4.18
37,tabuk,sa,28.38,36.58,59,51,0,6.93
38,esperance,au,-33.86,121.89,61.08,85,76,6.42
39,fortuna,us,40.6,-124.16,66.87,64,90,6.64
40,anna paulowna,nl,52.86,4.83,44.6,75,20,14.99
41,lebu,cl,-37.62,-73.65,55.45,100,56,3.96
43,nome,us,30.04,-94.42,75.63,50,1,4.7
44,sobolevo,ru,54.43,31.9,43.71,95,92,12.8
45,hermanus,za,-34.42,19.24,61.75,83,0,3.85
46,tyup,kg,42.73,78.36,25.8,74,80,2.39
47,saint-francois,gp,16.25,-61.27,80.6,78,0,4.7
48,grindavik,is,63.84,-22.43,39.2,93,90,34.45
49,douentza,ml,15.01,-2.95,66.88,51,0,3.62
50,ushuaia,ar,-54.81,-68.31,50,76,40,16.11
51,san patricio,mx,19.22,-104.7,87.8,70,20,9.17
52,hamilton,bm,32.3,-64.78,75.2,73,75,21.92
53,bredasdorp,za,-34.53,20.04,66.2,88,56,13.87
54,dabou,ci,5.32,-4.37,80.6,83,20,5.82
55,puerto ayora,ec,-0.74,-90.35,78.8,57,0,14.99
56,hay river,ca,60.82,-115.79,35.6,91,20,4.7
57,anadyr,ru,64.73,177.51,26.6,79,40,13.42
58,puerto carreno,co,6.19,-67.49,86,70,40,2.28
60,avarua,ck,-21.21,-159.78,73.4,94,90,11.41
61,bulgan,mn,48.81,103.53,16.8,62,0,2.73
62,cape town,za,-33.93,18.42,60.8,93,0,3.36
63,touros,br,-5.2,-35.46,76.11,91,0,9.66
64,constitucion,mx,23.99,-104.67,73.4,33,40,2.24
65,talnakh,ru,69.49,88.39,30.97,93,88,20.74
66,krasnohrad,ua,49.38,35.45,50.46,86,48,14.58
67,husavik,is,66.04,-17.34,35.6,69,75,14.99
68,salcininkai,lt,54.3,25.38,41,80,90,13.87
69,freeport,us,42.3,-89.62,50.07,75,1,4.7
70,khatanga,ru,71.98,102.47,34.26,88,64,17.6
72,kaitangata,nz,-46.28,169.85,49.24,100,92,6.53
74,parrsboro,ca,45.41,-64.33,33.8,84,90,16.11
76,kutum,sd,14.2,24.66,66.93,33,0,9.78
77,beira,mz,-19.84,34.84,75.2,69,20,9.17
78,amga,ru,60.89,131.98,13.6,74,76,5.97
79,quimper,fr,48,-4.1,38.48,100,20,6.93
80,yulara,au,-25.24,130.99,71.6,64,0,8.05
81,waipawa,nz,-39.94,176.59,63.78,79,64,5.19
82,new norfolk,au,-42.78,147.06,53.6,66,75,6.93
83,coremas,br,-7.02,-37.95,82.5,39,0,11.01
84,kavieng,pg,-2.57,150.8,82.54,100,48,4.63
85,miri,my,4.41,114.01,77,100,75,2.24
86,cape canaveral,us,28.41,-80.6,73.17,68,1,10.29
87,banda aceh,id,5.56,95.32,74.98,100,64,2.06
88,kangaatsiaq,gl,68.31,-53.46,31.78,93,68,0.83
89,novopokrovka,ru,45.85,134.51,33.4,73,88,5.41
90,aksu,kz,52.04,76.93,48.2,36,0,13.42
91,victoria,sc,-4.62,55.45,78.8,83,20,3.36
92,wanning,cn,18.8,110.4,78.45,100,68,20.4
93,havoysund,no,71,24.66,30.2,86,88,11.41
94,carnarvon,au,-24.87,113.63,71.92,87,0,17.05
95,fairview,ca,56.07,-118.38,50,39,40,13.87
96,muros,es,42.77,-9.06,37.4,100,75,4.7
97,sterling,us,39,-77.4,48.76,81,90,4.7
98,saskylakh,ru,71.97,114.09,23.1,86,88,24.87
99,isangel,vu,-19.55,169.27,76.02,100,0,3.85
100,chuy,uy,-33.69,-53.46,60.13,90,20,10.56
101,zadonsk,ru,52.39,38.93,46.4,81,90,11.18
103,sola,vu,-13.88,167.55,81.73,95,8,9.22
104,pandamatenga,bw,-18.54,25.64,68.32,26,0,13.69
105,pujili,ec,-0.95,-78.68,60.8,63,75,16.11
107,ewa beach,us,21.32,-158.01,83.73,54,1,6.93
108,alice town,bs,25.72,-79.3,81.28,100,24,5.53
109,floriano,br,-6.77,-43.02,85.42,46,0,7.76
110,te horo,nz,-40.81,175.12,59,67,20,21.92
111,akdagmadeni,tr,39.66,35.88,20.53,66,0,2.73
112,vega de alatorre,mx,20.03,-96.65,69.27,97,36,10.45
114,gweta,bw,-20.21,25.26,70.62,24,0,17.27
115,bathsheba,bb,13.22,-59.52,78.8,78,20,5.82
117,busselton,au,-33.64,115.35,59.14,100,0,10.78
119,baykit,ru,61.68,96.39,34.03,74,0,8.99
120,road town,vg,18.42,-64.62,81.82,78,40,5.82
121,geraldton,au,-28.77,114.6,60.8,82,0,9.17
122,cheremshanka,ru,47.9,142.19,46.68,80,76,15.26
123,alugan,ph,12.22,125.48,80.02,97,56,13.47
124,port alfred,za,-33.59,26.89,67.78,95,0,14.14
125,sioux lookout,ca,50.1,-91.92,42.8,93,90,4.7
126,mountain home,us,43.13,-115.69,66.2,48,1,8.05
127,qaanaaq,gl,77.48,-69.36,-8.18,100,0,10
128,susanville,us,40.42,-120.65,75.2,22,1,10.29
129,hami,cn,42.84,93.51,31.78,48,0,6.98
131,northam,au,-31.65,116.67,59,67,0,12.75
132,palasa,in,18.77,84.42,78.63,98,0,10.22
134,mozarlandia,br,-14.74,-50.57,80.25,59,48,6.08
136,luderitz,na,-26.65,15.16,73.4,53,32,4.7
137,tuktoyaktuk,ca,69.44,-133.03,26.6,92,90,13.87
139,buraydah,sa,26.33,43.97,62.6,72,40,11.41
140,jamestown,sh,-15.94,-5.72,67.87,100,0,11.56
141,lompoc,us,34.64,-120.46,71.37,72,1,13.87
142,hobart,au,-42.88,147.33,53.6,57,75,6.93
143,klaksvik,fo,62.23,-6.59,35.6,100,88,6.93
144,kasungu,mw,-13.04,33.48,59.23,68,0,6.76
145,gualeguaychu,ar,-33.01,-58.51,65.58,49,24,8.21
146,longyearbyen,sj,78.22,15.64,19.4,73,75,9.17
147,xicotencatl,mx,23.02,-98.88,68.73,85,88,2.62
148,bowen,au,-20.01,148.25,78.8,78,75,6.93
149,boyolangu,id,-8.09,111.9,74.76,87,36,7.2
150,de-kastri,ru,51.48,140.77,47.13,93,0,10.11
152,dergachi,ru,51.24,48.77,28.05,82,20,4.85
154,churapcha,ru,62,132.43,7.17,77,0,2.84
155,broome,au,-17.97,122.23,80.6,69,0,6.93
156,banjar,id,-7.37,108.54,72.96,95,88,3.29
157,mahebourg,mu,-20.41,57.7,64.4,88,20,8.05
158,kodiak,us,39.95,-94.76,68,40,1,4.7
159,ahipara,nz,-35.17,173.16,62.07,88,80,11.23
160,torbay,ca,47.66,-52.73,39.2,69,90,11.41
161,gullhaug,no,59.5,10.25,33.8,59,0,10.29
163,nanortalik,gl,60.14,-45.24,35.52,94,76,14.81
164,west wendover,us,40.74,-114.07,66.2,25,1,2.84
165,camopi,gf,3.17,-52.33,79.26,78,20,3.96
166,tazovskiy,ru,67.47,78.7,29.17,88,88,27.22
167,boende,cd,-0.28,20.88,73.41,98,80,2.17
168,kampot,kh,10.62,104.18,73.23,99,48,5.75
169,kruisfontein,za,-34,24.73,62.83,85,0,13.24
170,jiayuguan,cn,39.77,98.29,22.33,47,0,4.52
171,ponta do sol,pt,32.67,-17.1,66.2,63,75,19.46
172,ilulissat,gl,69.22,-51.1,30.2,86,12,9.17
173,ugoofaaru,mv,5.67,73,78.85,100,100,7.2
174,bethel,us,60.79,-161.76,33.8,59,40,18.34
175,vila franca do campo,pt,37.72,-25.43,62.6,59,40,20.8
176,sena madureira,br,-9.07,-68.66,81.19,77,8,3.96
177,malanje,ao,-9.54,16.35,63.33,96,44,2.51
178,hithadhoo,mv,-0.6,73.08,80.16,100,64,9.44
179,iqaluit,ca,63.75,-68.52,19.4,79,75,24.16
180,prince rupert,ca,54.32,-130.32,55.4,47,1,11.41
181,upernavik,gl,72.79,-56.15,23.73,100,92,23.31
182,barrow,us,39.51,-90.4,60.46,67,40,3.18
183,rio tuba,ph,8.51,117.43,84.52,95,12,1.95
184,barcelona,ph,12.87,124.14,81.64,93,76,13.47
185,illapel,cl,-31.63,-71.17,59.73,75,0,2.95
186,rosarito,mx,27.04,-109.91,96.8,19,5,4.7
187,pacific grove,us,36.62,-121.92,73.56,68,1,6.93
188,acapulco,mx,16.86,-99.88,86,70,75,6.93
189,lavrentiya,ru,65.58,-170.99,29.44,100,0,21.3
190,wageningen,sr,5.77,-56.69,82.23,98,92,13.02
191,port hardy,ca,50.7,-127.42,50,81,90,23.04
192,baiyin,cn,36.55,104.13,28.4,79,0,4.47
194,mehamn,no,71.03,27.85,31.78,80,88,14.03
195,makakilo city,us,21.35,-158.09,83.75,54,1,6.93
196,clyde river,ca,70.47,-68.59,8.6,92,40,18.34
197,provideniya,ru,64.42,-173.23,26.92,100,8,6.76
198,mago,ru,53.27,140.15,42.72,97,92,12.24
199,port elizabeth,za,-33.92,25.57,64.4,93,0,16.11
201,antiguo morelos,mx,22.55,-99.08,68.73,85,88,2.62
202,arcata,us,40.87,-124.08,67.23,82,90,8.05
203,belyy yar,ru,53.6,91.39,24.8,92,12,2.24
204,dikson,ru,73.51,80.55,24.94,100,76,33.6
205,east london,za,-33.02,27.91,69.22,100,20,19.06
207,sao felix do xingu,br,-6.64,-51.99,79.93,87,12,1.28
209,leningradskiy,ru,69.38,178.42,14.77,100,0,4.41
210,faanui,pf,-16.48,-151.75,80.74,100,8,8.43
211,kalmunai,lk,7.42,81.82,72.96,100,68,6.64
212,labuhan,id,-2.54,115.51,76.78,91,32,2.95
215,arawa,pg,-6.23,155.57,81.6,100,20,3.74
216,vilhena,br,-12.74,-60.15,84.2,66,40,3.36
217,kurumkan,ru,54.33,110.32,17.02,91,56,1.83
219,anchorage,us,61.22,-149.89,45.12,81,90,2.84
220,belaya gora,ru,68.54,146.19,10.9,86,76,11.45
221,ponta do sol,cv,17.2,-25.09,76.92,100,44,12.24
222,oranjemund,na,-28.55,16.43,62.25,97,8,0.83
224,hofn,is,64.25,-15.21,38.89,100,92,19.84
225,vostok,ru,46.45,135.83,28.86,79,80,4.63
227,puerto escondido,mx,15.86,-97.07,87.8,66,20,9.17
228,imeni poliny osipenko,ru,52.42,136.49,36.19,94,92,7.99
229,natal,br,-5.81,-35.21,78.8,74,20,8.05
230,tiznit,ma,29.7,-9.73,63.82,99,76,5.41
231,namibe,ao,-15.19,12.15,78.94,84,0,13.02
232,prince george,ca,53.92,-122.75,48.2,45,1,4.7
234,arinos,br,-15.92,-46.11,68.77,95,48,7.99
235,sinnamary,gf,5.38,-52.96,81.19,96,80,7.09
236,thanh hoa,vn,10.21,106.33,77.23,94,8,8.32
237,pingxiang,cn,27.63,113.85,50.5,77,0,2.06
238,lagoa,pt,37.14,-8.45,55.4,58,0,9.17
240,atambua,id,-9.11,124.89,82.9,85,0,3.62
241,leshukonskoye,ru,64.9,45.76,26.97,85,8,4.97
242,hilo,us,19.71,-155.08,78.24,69,1,9.17
243,sundsvall,se,62.39,17.31,28.4,74,0,8.05
245,doka,sd,13.52,35.76,72.33,65,0,6.08
246,college,us,64.86,-147.8,31.37,95,90,3.62
247,rudsar,ir,37.14,50.29,55.4,93,90,2.17
248,talmenka,ru,53.82,83.56,39.2,55,0,8.95
249,aklavik,ca,68.22,-135.01,23.77,92,75,3.36
250,viedma,ar,-40.81,-62.99,65.31,41,12,7.76
251,susuman,ru,62.78,148.15,2.8,60,8,2.62
257,valparai,in,10.33,76.96,77,94,12,1.83
258,tromso,no,69.65,18.96,28.4,92,75,1.72
259,beloha,mg,-25.17,45.06,61.08,91,0,7.09
260,severo-kurilsk,ru,50.68,156.12,43.53,98,92,13.58
261,byron bay,au,-28.65,153.62,80.6,57,76,12.75
262,alice springs,au,-23.7,133.88,71.6,68,40,3.36
263,burgeo,ca,47.61,-57.61,41.28,100,48,4.85
264,pisco,pe,-13.71,-76.2,66.2,77,90,9.17
265,arraial do cabo,br,-22.97,-42.02,73.32,97,92,9.33
266,santa maria,cv,16.6,-22.9,78.8,74,40,10.29
267,kahului,us,20.89,-156.47,82.74,58,40,20.8
268,srednekolymsk,ru,67.46,153.71,7.48,77,80,7.43
269,antsohihy,mg,-14.88,47.99,67.24,98,0,3.18
270,chivay,pe,-15.64,-71.6,38.58,46,20,2.62
271,comodoro rivadavia,ar,-45.87,-67.48,68,40,20,11.41
272,tauranga,nz,-37.69,176.17,63.82,89,80,10.89
273,sur,om,22.57,59.53,77.82,100,76,4.63
274,bambous virieux,mu,-20.34,57.76,64.4,88,20,8.05
275,balangir,in,20.7,83.49,60.22,80,0,2.73
276,padang,id,-0.92,100.36,79.12,100,68,5.53
277,port-cartier,ca,50.03,-66.88,21.2,67,5,7.2
278,stonewall,ca,50.13,-97.33,41,93,75,4.7
279,mount gambier,au,-37.83,140.78,56.8,75,20,3.4
281,sao filipe,cv,14.9,-24.5,77.91,100,8,12.68
285,cidreira,br,-30.17,-50.22,63.28,92,92,13.24
286,nikolskoye,ru,59.7,30.79,35.6,96,75,15.66
287,salinopolis,br,-0.61,-47.36,82.72,92,76,12.46
288,fene,es,43.47,-8.16,40.64,81,75,4.7
289,mendi,pg,-6.14,143.66,59.95,90,100,2.73
290,tasiilaq,gl,65.61,-37.64,33.8,97,92,35.57
291,wuwei,cn,37.93,102.64,21.57,69,0,3.96
292,ribeira grande,pt,38.52,-28.7,67.2,100,32,17.49
295,whitehorse,ca,60.72,-135.06,42.8,60,75,11.41
296,sharjah,ae,25.36,55.39,83.53,62,0,5.82
298,poole,gb,50.72,-1.98,39.6,93,75,11.41
300,barguzin,ru,53.62,109.63,27.33,92,88,1.16
301,tatishchevo,ru,51.67,45.59,37.4,69,75,6.71
302,coldstream,gb,55.65,-2.25,39.97,65,92,17.22
303,port hedland,au,-20.31,118.58,77,83,0,10.29
304,scottsbluff,us,41.87,-103.67,58.69,48,1,18.34
305,batalha,br,-9.67,-37.13,84.34,39,0,14.03
306,staryy nadym,ru,65.61,72.68,29.98,88,76,15.03
307,oriximina,br,-1.77,-55.87,87.72,54,20,4.97
308,venice,it,45.44,12.33,63.75,72,0,14.99
309,gaspe,ca,48.83,-64.48,26.6,68,75,5.82
310,pontianak,id,-0.02,109.34,79.53,93,20,2.28
